"Representative","Office Running For","Total Spent"
"Scott Perry (R-Pa) ","Pennsylvania District 04","$460840"
"Chris Smith (R-NJ) ","New Jersey District 04","$459641"
"Kenny Marchant (R-Texas) ","Texas District 24","$431772"
"Ron DeSantis (R-Fla) ","Florida District 06","$429688"
"Phil Roe (R-Tenn) ","Tennessee District 01","$426805"
"Raul Labrador (R-Idaho) ","Idaho District 01","$425011"
"Beto O'Rourke (D-Texas) ","Texas District 16","$409513"
"Luis V. Gutierrez (D-Ill) ","Illinois District 04","$408968"
"Paul Gosar (R-Ariz) ","Arizona District 04","$401797"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$396337"
"William L. Clay Jr (D-Mo) ","Missouri District 01","$384887"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$384140"
"Chellie Pingree (D-Maine) ","Maine District 01","$381502"
"Trent Franks (R-Ariz) ","Arizona District 08","$369181"
"Chris Collins (R-NY) ","New York District 27","$366415"
"James Bridenstine (R-Okla) ","Oklahoma District 01","$365520"
"Bobby L. Rush (D-Ill) ","Illinois District 01","$344604"
"Mark R. Meadows (R-NC) ","North Carolina District 11","$332786"
"F. James Sensenbrenner Jr (R-Wis) ","Wisconsin District 05","$326996"
"Richard Nugent (R-Fla) ","Florida District 11","$317246"
"Grace Napolitano (D-Calif) ","California District 32","$304898"
"Cynthia Marie Lummis (R-Wyo) ","Wyoming District 01","$300949"
"Mo Brooks (R-Ala) ","Alabama District 05","$299838"
"Paul Cook (R-Calif) ","California District 08","$297683"
"Frederica Wilson (D-Fla) ","Florida District 24","$234359"
"Madeleine Z. Bordallo (D-Guam) ","Guam District 00","$210984"
"Jose E. Serrano (D-NY) ","New York District 15","$165919"
"Gregorio Sablan (I) ","Northern Mariana Islands District 00","$72785"
"Eni F. H. Faleomavaega (D-AS) ","American Samoa District 00","$69933"
