"Representative","Office Running For","Total Raised"
"Betty McCollum (D-Minn) ","Minnesota District 04","$931351"
"Jared Huffman (D-Calif) ","California District 02","$928167"
"Trent Kelly (R-Miss) ","Mississippi District 01","$925455"
"Bill Posey (R-Fla) ","Florida District 08","$924991"
"David Price (D-NC) ","North Carolina District 04","$918540"
"Brenda Lawrence (D-Mich) ","Michigan District 14","$918509"
"Ted Yoho (R-Fla) ","Florida District 03","$911782"
"John Sarbanes (D-Md) ","Maryland District 03","$910190"
"Bonnie Coleman (D-NJ) ","New Jersey District 12","$899051"
"Clay Higgins (R-La) ","Louisiana District 03","$894439"
"Jeff Duncan (R-SC) ","South Carolina District 03","$893068"
"Mike Doyle (D-Pa) ","Pennsylvania District 18Current office: Pennsylvania District 14","$892726"
"Karen Bass (D-Calif) ","California District 37","$882542"
"Juan Vargas (D-Calif) ","California District 51","$879037"
"Steven A. King (R-Iowa) ","Iowa District 04","$873305"
"Liz Cheney (R-Wyo) ","Wyoming District 01","$867571"
"Hal Rogers (R-Ky) ","Kentucky District 05","$865598"
"Peter Welch (D-Vt) ","Vermont District 01","$861403"
"Donald McEachin (D-Va) ","Virginia District 04","$858272"
"Ralph Abraham (R-La) ","Louisiana District 05","$857200"
"Stephen F Lynch (D-Mass) ","Massachusetts District 08","$849711"
"Barry Loudermilk (R-Ga) ","Georgia District 11","$845520"
"Anthony Brown (D-Md) ","Maryland District 04","$844181"
"Val Demings (D-Fla) ","Florida District 10","$834715"
"Adriano Espaillat (D-NY) ","New York District 13","$819583"
"Austin Scott (R-Ga) ","Georgia District 08","$818129"
"Louis B Gohmert Jr. (R-Texas) ","Texas District 01","$815818"
"John Rutherford (R-Fla) ","Florida District 04","$805304"
"Jeb Hensarling (R-Texas) ","Texas District 05","$795814"
"Alcee L Hastings (D-Fla) ","Florida District 20","$789051"
"Tom Marino (R-Pa) ","Pennsylvania District 12Current office: Pennsylvania District 10","$788300"
"Randy Weber (R-Texas) ","Texas District 14","$776543"
"Chellie Pingree (D-Maine) ","Maine District 01","$772709"
"Marcy Kaptur (D-Ohio) ","Ohio District 09","$772003"
"Steven Palazzo (R-Miss) ","Mississippi District 04","$766678"
"Marcia L Fudge (D-Ohio) ","Ohio District 11","$763205"
"Jeff Fortenberry (R-Neb) ","Nebraska District 01","$762133"
"G K Butterfield (D-NC) ","North Carolina District 01","$761051"
"Kathy Castor (D-Fla) ","Florida District 14","$757607"
"Mark Sanford (R-SC) ","South Carolina District 01","$756181"
"John Lee Ratcliffe (R-Texas) ","Texas District 04","$748187"
"Ruben Kihuen (D-Nev) ","Nevada District 04","$744574"
"Dina Titus (D-Nev) ","Nevada District 01","$742770"
"Dennis Ross (R-Fla) ","Florida District 15","$741889"
"Michael Cloud (R-Texas) ","Texas District 27","$740442"
"Sheila Jackson Lee (D-Texas) ","Texas District 18","$727312"
"James Comer (R-Ky) ","Kentucky District 01","$720746"
"Paul Mitchell (R-Mich) ","Michigan District 10","$719377"
"Alan Lowenthal (D-Calif) ","California District 47","$701799"
"Raul M Grijalva (D-Ariz) ","Arizona District 03","$697816"
"Douglas L Lamborn (R-Colo) ","Colorado District 05","$679456"
"Warren Davidson (R-Ohio) ","Ohio District 08","$663970"
"William L Clay Jr. (D-Mo) ","Missouri District 01","$663479"
"Jody B Hice (R-Ga) ","Georgia District 10","$652368"
"Bobby Scott (D-Va) ","Virginia District 03","$644425"
"Justin Amash (R-Mich) ","Michigan District 03","$628562"
"Norma Torres (D-Calif) ","California District 35","$624401"
"Andy Biggs (R-Ariz) ","Arizona District 05","$611114"
"Rick Nolan (D-Minn) ","Minnesota District 08","$610972"
"Daniel Webster (R-Fla) ","Florida District 11","$603084"
"Kenneth R Buck (R-Colo) ","Colorado District 04","$601208"
"Alma Adams (D-NC) ","North Carolina District 12","$589687"
"Walter B Jones Jr. (R-NC) ","North Carolina District 03","$587113"
"Paul Gosar (R-Ariz) ","Arizona District 04","$580004"
"Mark Desaulnier (D-Calif) ","California District 11","$573950"
"Lamar Smith (R-Texas) ","Texas District 21","$563771"
"Al Green (D-Texas) ","Texas District 09","$560387"
"Tom Garrett (R-Va) ","Virginia District 05","$548212"
"Al Lawson (D-Fla) ","Florida District 05","$545840"
"Scott Desjarlais (R-Tenn) ","Tennessee District 04","$544417"
"Donald M Payne Jr. (D-NJ) ","New Jersey District 10","$538431"
"Lucille Roybal-Allard (D-Calif) ","California District 40","$533114"
"Steve Cohen (D-Tenn) ","Tennessee District 09","$528509"
"Jim Cooper (D-Tenn) ","Tennessee District 05","$522078"
"Eddie Bernice Johnson (D-Texas) ","Texas District 30","$511781"
"Hank Johnson (D-Ga) ","Georgia District 04","$481257"
"Gene Green (D-Texas) ","Texas District 29","$467573"
"Albio Sires (D-NJ) ","New Jersey District 08","$459609"
"Danny K Davis (D-Ill) ","Illinois District 07","$444796"
"Bob Goodlatte (R-Va) ","Virginia District 06","$436876"
"Dave Reichert (R-Wash) ","Washington District 08","$421052"
"Susan A Davis (D-Calif) ","California District 53","$415768"
"Eleanor Holmes Norton (D-DC) ","District of Columbia District 00","$415030"
"Grace Napolitano (D-Calif) ","California District 32","$409150"
"Jenniffer Gonzalez (3-PR) ","Puerto Rico District 00","$401679"
"Bobby L Rush (D-Ill) ","Illinois District 01","$386313"
"Thomas Massie (R-Ky) ","Kentucky District 04","$373333"
"Frank LoBiondo (R-NJ) ","New Jersey District 02","$370540"
"Stacey Plaskett (D-VI) ","Virgin Islands District 00","$359181"
"Frederica Wilson (D-Fla) ","Florida District 24","$358475"
"Phil Roe (R-Tenn) ","Tennessee District 01","$358034"
"F James Sensenbrenner Jr. (R-Wis) ","Wisconsin District 05","$354461"
"Joe Barton (R-Texas) ","Texas District 06","$349381"
"Gregg Harper (R-Miss) ","Mississippi District 03","$297220"
"Ted Poe (R-Texas) ","Texas District 02","$275376"
"Brenda Jones (D-Mich) ","Michigan District 13","$269838"
"Robert A. Brady (D-Pa) ","Pennsylvania District 02Current office: Pennsylvania District 01","$267078"
"Jose E Serrano (D-NY) ","New York District 15","$259991"
"Diane Black (R-Tenn) ","Tennessee District 06","$239963"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$225963"
"Tom Rooney (R-Fla) ","Florida District 17","$224668"
"Amata Coleman Radewagen (R-AS) ","American Samoa District 00","$167191"
"Madeleine Z Bordallo (D-Guam) ","Guam District 00","$163165"
"Gregorio Sablan (I) ","Northern Mariana Islands District 00","$114633"
"John J Duncan Jr. (R-Tenn) ","Tennessee District 02","$113083"
"Niki Tsongas (D-Mass) ","Massachusetts District 03","$103338"
"Tim Walz (D-Minn) ","Minnesota District 01","$101568"
"Sander Levin (D-Mich) ","Michigan District 09","$91288"
"Luis V Gutierrez (D-Ill) ","Illinois District 04","$90351"
"Raul Labrador (R-Idaho) ","Idaho District 01","$87850"
"Kristi Noem (R-SD) ","South Dakota District 01","$24783"
"Lynn Jenkins (R-Kan) ","Kansas District 02","$9560"
"Michelle Lujan Grisham (D-NM) ","New Mexico District 01","$1677"
"Steve Pearce (R-NM) ","New Mexico District 02","$0"
"Colleen Hanabusa (D-Hawaii) ","Hawaii District 01","-$80634"
