"Representative","Office Running For","Cash on Hand"
"Maurice Hinchey (D-NY) ","New York District 22","$41262"
"Ron Lewis (R-Ky) ","Kentucky District 02","$40374"
"Silvestre Reyes (D-Texas) ","Texas District 16","$39281"
"Tom Allen (D-Maine) ","Maine SenateCurrent office: Maine District 01","$38168"
"Brad Miller (D-NC) ","North Carolina District 13","$37423"
"Darlene Hooley (D-Ore) ","Oregon District 05","$37178"
"Tim Murphy (R-Pa) ","Pennsylvania District 18","$35585"
"Gwen Moore (D-Wis) ","Wisconsin District 04","$35513"
"Carol Shea-Porter (D-NH) ","New Hampshire District 01","$35329"
"Gus Bilirakis (R-Fla) ","Florida District 09","$34583"
"Yvette D Clarke (D-NY) ","New York District 11","$32839"
"Walter B Jones Jr (R-NC) ","North Carolina District 03","$32557"
"Chris Carney (D-Pa) ","Pennsylvania District 10","$32477"
"Paul Broun Jr (R-Ga) ","Georgia District 10","$32312"
"Michael Arcuri (D-NY) ","New York District 24","$31407"
"Joe Wilson (R-SC) ","South Carolina District 02","$31288"
"Timothy J Walz (D-Minn) ","Minnesota District 01","$30528"
"Edolphus Towns (D-NY) ","New York District 10","$29762"
"Travis W Childers (D-Miss) ","Mississippi District 01","$29339"
"John Culberson (R-Texas) ","Texas District 07","$29300"
"Laura Richardson (D-Calif) ","California District 37","$28889"
"Jerry Weller (R-Ill) ","Illinois District 11","$27973"
"Vic Snyder (D-Ark) ","Arkansas District 02","$27414"
"Chaka Fattah (D-Pa) ","Pennsylvania District 02","$26801"
"Phil English (R-Pa) ","Pennsylvania District 03","$26661"
"Barbara Lee (D-Calif) ","California District 09","$26611"
"Jose E Serrano (D-NY) ","New York District 16","$26603"
"Rodney Alexander (R-La) ","Louisiana District 05","$26506"
"Jon Porter (R-Nev) ","Nevada District 03","$26133"
"Betty Sue Sutton (D-Ohio) ","Ohio District 13","$25967"
"Bobby L Rush (D-Ill) ","Illinois District 01","$24821"
"Lucille Roybal-Allard (D-Calif) ","California District 34","$24379"
"John A Yarmuth (D-Ky) ","Kentucky District 03","$24351"
"Dan Lungren (R-Calif) ","California District 03","$24291"
"John Barrow (D-Ga) ","Georgia District 12","$24238"
"Raul M Grijalva (D-Ariz) ","Arizona District 07","$23058"
"Michael R McNulty (D-NY) ","New York District 21","$22973"
"John Kline (R-Minn) ","Minnesota District 02","$22876"
"Paul W Hodes (D-NH) ","New Hampshire District 02","$21703"
"Tim Walberg (R-Mich) ","Michigan District 07","$21617"
"Jean Schmidt (R-Ohio) ","Ohio District 02","$21593"
"John E Peterson (R-Pa) ","Pennsylvania District 05","$21222"
"Thelma Drake (R-Va) ","Virginia District 02","$21167"
"William T Sali (R-Idaho) ","Idaho District 01","$20266"
"Lincoln Davis (D-Tenn) ","Tennessee District 04","$18928"
"Corrine Brown (D-Fla) ","Florida District 03","$17300"
"Mario Diaz-Balart (R-Fla) ","Florida District 25","$16462"
"Mark E Souder (R-Ind) ","Indiana District 03","$15704"
"Donna Edwards (D-Md) ","Maryland District 04","$15527"
"Niki Tsongas (D-Mass) ","Massachusetts District 05","$15494"
"John T Doolittle (R-Calif) ","California District 04","$15036"
"John R Kuhl Jr (R-NY) ","New York District 29","$14801"
"Scott Garrett (R-NJ) ","New Jersey District 05","$14419"
"David Davis (R-Tenn) ","Tennessee District 01","$14340"
"Donna Christian-Christensen (D-VI) ","Virgin Islands District 00","$13708"
"Jason Altmire (D-Pa) ","Pennsylvania District 04","$13520"
"Bill Foster (D-Ill) ","Illinois District 14","$13448"
